film_name,film_year,film_rate,link,poster
Mickey 17,2025,3.56,https://letterboxd.com/film/mickey-17/,https://a.ltrbxd.com/resized/film-poster/6/2/0/2/8/1/620281-mickey-17-0-70-0-105-crop.jpg?v=93e4d2af6d
Donnie Darko,2001,3.97,https://letterboxd.com/film/donnie-darko/,https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-70-0-105-crop.jpg?v=caa3999c6f
The Devil Wears Prada,2006,3.83,https://letterboxd.com/film/the-devil-wears-prada/,https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-70-0-105-crop.jpg?v=65a9cdb330
Scott Pilgrim vs. the World,2010,3.88,https://letterboxd.com/film/scott-pilgrim-vs-the-world/,https://a.ltrbxd.com/resized/sm/upload/vs/75/02/fx/2B5zjs5E3xerqAyowpw3QcOCyLq-0-70-0-105-crop.jpg?v=3aef2095df
The Hunger Games,2012,3.79,https://letterboxd.com/film/the-hunger-games/,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-70-0-105-crop.jpg?v=f4bfaf16df
Glass Onion,2022,3.38,https://letterboxd.com/film/glass-onion/,https://a.ltrbxd.com/resized/film-poster/5/8/6/7/2/3/586723-glass-onion-0-70-0-105-crop.jpg?v=9c6cce161b
Little Miss Sunshine,2006,4.21,https://letterboxd.com/film/little-miss-sunshine/,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-70-0-105-crop.jpg?v=09383296c6
The Social Network,2010,3.93,https://letterboxd.com/film/the-social-network/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Inside Out 2,2024,3.55,https://letterboxd.com/film/inside-out-2-2024/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Harry Potter and the Prisoner of Azkaban,2004,4.14,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/,https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-70-0-105-crop.jpg?v=6285ee260e
The Notebook,2004,3.86,https://letterboxd.com/film/the-notebook/,https://a.ltrbxd.com/resized/film-poster/4/5/6/6/7/45667-the-notebook-0-70-0-105-crop.jpg?v=d867e84f30
Her,2013,3.97,https://letterboxd.com/film/her/,https://a.ltrbxd.com/resized/sm/upload/au/nb/i6/lq/fsoTLnUXEUTNuVCBxAJMY0HPPd-0-70-0-105-crop.jpg?v=16789732be
Harry Potter and the Philosopher's Stone,2001,3.82,https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/,https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-70-0-105-crop.jpg?v=0053b4ed93
Inside Out,2015,3.83,https://letterboxd.com/film/inside-out-2015/,https://a.ltrbxd.com/resized/film-poster/1/1/3/2/8/4/113284-inside-out-0-70-0-105-crop.jpg?v=de03b9b6ef
Coco,2017,4.13,https://letterboxd.com/film/coco-2017/,https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-70-0-105-crop.jpg?v=2a90bd6512
Back to the Future,1985,4.21,https://letterboxd.com/film/back-to-the-future/,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-70-0-105-crop.jpg?v=b818c8ce28
Howl's Moving Castle,2004,4.36,https://letterboxd.com/film/howls-moving-castle/,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-70-0-105-crop.jpg?v=fde81bda52
Arrival,2016,4.14,https://letterboxd.com/film/arrival-2016/,https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-70-0-105-crop.jpg?v=0fc28fdf2c
Avatar,2009,3.73,https://letterboxd.com/film/avatar/,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-70-0-105-crop.jpg?v=0bb5ec98ec
Pride & Prejudice,2005,4.14,https://letterboxd.com/film/pride-prejudice/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
